date,wdir,wspd,pres
2017-10-15,226,11.7,1024.7
2017-10-16,345,13.7,1023.6
2017-10-17,6,20.8,1021.9
2017-10-18,8,29.9,1019.6
2017-10-19,313,28.1,1016.9
2017-10-20,202,22.3,1026.5
2017-10-21,198,17.8,1024.3
2017-10-22,205,19.3,1018.3
2017-10-23,202,13.7,1018.1
2017-10-24,292,10.5,1016
2017-10-25,164,12.4,1012.6
2017-10-26,188,19.4,1009.8
2017-10-27,328,24.3,1007.5
2017-10-28,188,19.7,1006.3
2017-10-29,350,34,1001.9
2017-10-30,271,18.4,1008.6
2017-10-31,221,16.8,1019.5
2017-11-01,203,17.5,1018.1
2017-11-02,196,13.5,1015.5
2017-11-03,233,21.5,1015.5
2017-11-04,203,18.5,1021.4
2017-11-05,191,16,1020.9
2017-11-06,202,22.9,1016.5
2017-11-07,199,24.2,1021.3
2017-11-08,174,15.2,1026.3
2017-11-09,182,11.5,1026.4
2017-11-10,225,12.8,1025.1
2017-11-11,225,14.3,1023.5
2017-11-12,226,15,1021
2017-11-13,348,15.9,1017
2017-11-14,1,27.4,1013.6
2017-11-15,352,29.9,1010.7
2017-11-16,31,13.7,1010.7
2017-11-17,10,14.9,1012.7
2017-11-18,31,15.5,1015.7
2017-11-19,46,15.4,1019.6
2017-11-20,20,20.2,1020.9
2017-11-21,1,16.9,1018.9
2017-11-22,11,19.2,1014.6
2017-11-23,339,17.1,1010.5
2017-11-24,359,17.3,1012.5
2017-11-25,4,16.7,1012.7
2017-11-26,125,13.2,1011.6
2017-11-27,187,18.2,1016.2
2017-11-28,172,12.2,1016.8
2017-11-29,17,18.2,1014.1
2017-11-30,355,25.6,1009.8
2017-12-01,274,20.2,1006.5
2017-12-02,205,28.1,1006.4
2017-12-03,216,29,1010.8
2017-12-04,196,18.2,1014.5
2017-12-05,184,16.6,1011.1
2017-12-06,197,11.1,1005.5
2017-12-07,240,12.1,1004.3
2017-12-08,221,18.1,1014.3
2017-12-09,274,19.2,1019.9
2017-12-10,197,14.7,1022.2
2017-12-11,184,15.6,1020.9
2017-12-12,176,13.5,1016.7
2017-12-13,351,27.3,1006.9
2017-12-14,200,19.3,1007
2017-12-15,185,12,1011.4
2017-12-16,187,15.1,1014.3
2017-12-17,204,16.2,1015.7
2017-12-18,49,11.2,1009.7
2017-12-19,359,26.8,1000
2017-12-20,244,19.9,1009.4
2017-12-21,204,14,1017.7
2017-12-22,131,11.2,1014.1
2017-12-23,302,16.3,1008
2017-12-24,184,24.4,1011.9
2017-12-25,164,26.1,1017.6
2017-12-26,150,14.9,1014.9
2017-12-27,3,29.1,1010.6
2017-12-28,24,16.5,1010.7
2017-12-29,196,8.4,1008.6
2017-12-30,230,21.9,1009
2017-12-31,191,11.7,1010.2
2018-01-01,182,15.3,1007.9
2018-01-02,171,19.2,1008.9
2018-01-03,193,20.1,1014.8
2018-01-04,162,13.7,1016.4
2018-01-05,190,10.3,1014.5
2018-01-06,342,27.6,1009
2018-01-07,185,15.1,1013.8
2018-01-08,200,14.2,1012.3
2018-01-09,189,21.9,1015.6
2018-01-10,162,13.3,1016.9
2018-01-11,359,15.2,1011.7
2018-01-12,358,22.7,1004.9
2018-01-13,248,18.2,1005.3
2018-01-14,200,20.1,1016.9
2018-01-15,195,21.5,1020.5
2018-01-16,196,15.8,1021
2018-01-17,229,12.9,1017.1
2018-01-18,349,23.3,1013.2
2018-01-19,320,25.7,1011.1
2018-01-20,187,13.3,1013.3
2018-01-21,140,15.1,1008.6
2018-01-22,190,14,1008.6
2018-01-23,180,16.9,1011.1
2018-01-24,191,14.6,1010.2
2018-01-25,193,14.6,1009
2018-01-26,198,12.3,1010.2
2018-01-27,181,12.7,1009.1
2018-01-28,3,24.6,1006.4
2018-01-29,353,34.9,1006.5
2018-01-30,185,25.5,1011.6
2018-01-31,191,27.8,1014.7
2018-02-01,164,21.7,1016.1
2018-02-02,165,16.1,1018.2
2018-02-03,174,15.4,1020.5
2018-02-04,217,14.7,983.8
2018-02-05,201,13.1,1019.1
2018-02-06,230,14,1016.1
2018-02-07,336,18.9,1013.2
2018-02-08,197,14.7,1013.6
2018-02-09,183,12,1014.3
2018-02-10,347,21.6,1006
2018-02-11,201,21.8,1008.5
2018-02-12,193,18,1010.7
2018-02-13,327,10,1010.2
2018-02-14,268,31,1008
2018-02-15,272,18.6,1013
2018-02-16,213,16.8,1013.4
2018-02-17,119,15.5,1012.4
2018-02-18,201,14,1012.9
2018-02-19,155,27.7,1014.9
2018-02-20,205,13.3,1016.6
2018-02-21,349,25.3,1014
2018-02-22,337,11,1013.4
2018-02-23,2,23.7,1008.3
2018-02-24,298,31.7,1004.4
2018-02-25,170,30.9,1012
2018-02-26,201,14.5,1015
2018-02-27,357,22.7,1013.3
2018-02-28,315,35.9,1007.3
2018-03-01,193,19.8,1016
2018-03-02,145,11.6,1013.5
2018-03-03,303,19.6,1009.1
2018-03-04,201,19,1015.3
2018-03-05,183,23.4,1019.3
2018-03-06,180,15.6,1023.2
2018-03-07,250,15.5,1023.9
2018-03-08,18,17.6,1023.3
2018-03-09,213,12.3,1024.3
2018-03-10,357,15.6,1022.4
2018-03-11,196,19.8,1022.3
2018-03-12,194,23.2,1022.6
2018-03-13,189,18.7,1022
2018-03-14,196,11.1,1018.5
2018-03-15,197,12.6,1015.2
2018-03-16,239,9.3,1014.2
2018-03-17,0,29,1009.7
2018-03-18,294,30.7,1007.6
2018-03-19,309,19.5,1015
2018-03-20,187,27,1025.5
2018-03-21,177,15.8,1026.6
2018-03-22,57,12.6,1023.8
2018-03-23,0,25.3,1019.2
2018-03-24,3,25.2,1011.6
2018-03-25,314,35.1,1000.9
2018-03-26,262,28.7,1009.2
2018-03-27,354,22.4,1015
2018-03-28,338,29.3,1013.2
2018-03-29,177,11.8,1015.8
2018-03-30,253,15.9,1016.4
2018-03-31,226,9.6,1017.6
2018-04-01,331,15.8,1013.2
2018-04-02,201,15.1,1018.2
2018-04-03,201,12.9,1022.4
2018-04-04,156,10.9,1019.7
2018-04-05,201,10.4,1016.5
